,R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FGM,FGA,FG%_z_score,FT%,FTM,FTA,FT%_z_score,3PM,3PM_z_score,PTS,PTS_z_score,TREB,TREB_z_score,AST,AST_z_score,STL,STL_z_score,BLK,BLK_z_score,TOTAL
165,"154
                               
                                1",135.0,Kelly Oubre Jr.,SG/SF,PHI,65,30.0,0.435,6.1,14.1,-1.11,0.760,2.6,3.4,-0.40,1.8,0.11,16.6,0.51,5.0,0.07,1.3,-0.84,1.2,0.83,0.6,-0.07,-0.89
166,"155
                               
                                4",116.2,Aaron Gordon,PF,DEN,72,31.0,0.560,6.0,10.6,1.90,0.632,2.7,4.2,-2.95,0.7,-1.05,15.3,0.31,6.6,0.72,3.3,0.19,0.8,-0.30,0.7,0.24,-0.93
167,"156
                               
                                2",,Nick Richards,C,CHA,67,25.2,0.656,3.8,5.8,2.21,0.743,2.3,3.0,-0.60,0.0,-1.84,9.8,-0.50,8.0,1.27,0.8,-1.11,0.3,-1.58,1.1,1.20,-0.97
169,"157
                               
                                3",140.6,Tre Jones,PG,SA,74,24.4,0.479,3.9,8.0,0.14,0.861,1.5,1.7,0.59,0.7,-1.13,9.8,-0.49,3.2,-0.64,5.5,1.33,1.0,0.27,0.1,-1.04,-0.98
170,"158
                               
                                7",140.5,Andrew Nembhard,PG/SG,IND,72,30.2,0.477,4.4,9.2,0.09,0.800,0.8,1.0,0.02,1.2,-0.48,10.7,-0.36,2.7,-0.82,5.0,1.05,1.1,0.46,0.2,-0.95,-1.00
171,"159
                               
                                1",140.5,Tari Eason,SF,HOU,67,22.4,0.457,3.9,8.5,-0.24,0.732,1.3,1.8,-0.47,0.8,-0.98,9.8,-0.49,7.1,0.91,1.2,-0.92,1.3,1.02,0.7,0.18,-1.00
172,"160
                               
                                5",140.2,Noah Clowney,PF,BKN,67,24.2,0.552,3.7,6.6,1.12,0.728,1.6,2.1,-0.59,0.9,-0.90,9.7,-0.51,5.8,0.38,1.3,-0.86,0.6,-0.89,1.1,1.24,-1.00
173,"161
                               
                                13",137.7,Ben Simmons,PG/PF,BKN,28,24.9,0.569,3.0,5.3,1.10,0.427,0.5,1.2,-2.10,0.0,-1.85,6.6,-0.98,6.6,0.71,5.9,1.51,1.1,0.62,0.6,-0.02,-1.03
174,"162
                               
                                1",140.0,Kyle Lowry,PG,PHI,58,27.7,0.417,3.0,7.1,-0.78,0.855,1.5,1.7,0.53,1.7,0.02,9.1,-0.61,3.4,-0.54,4.4,0.73,1.0,0.13,0.3,-0.53,-1.04
175,"163
                               
                                9",117.0,Deni Avdija,SF/PF,POR,73,27.4,0.477,4.4,9.1,0.10,0.738,2.1,2.9,-0.64,1.0,-0.69,11.9,-0.19,6.5,0.69,3.3,0.17,0.8,-0.19,0.4,-0.33,-1.08
176,164,140.5,Dyson Daniels,PG/SG,ATL,68,27.4,0.453,2.8,6.1,-0.20,0.651,0.7,1.1,-0.72,0.8,-0.94,7.1,-0.91,5.0,0.06,3.5,0.29,1.5,1.64,0.4,-0.33,-1.10
177,"165
                               
                                8",138.9,Shaedon Sharpe,SG/SF,POR,60,31.6,0.434,5.6,12.9,-1.05,0.812,2.8,3.5,0.43,1.9,0.27,15.9,0.40,4.6,-0.06,2.2,-0.39,0.8,-0.35,0.4,-0.36,-1.10
178,"166
                               
                                18",138.9,Jordan Clarkson,SG,UTA,64,28.6,0.431,6.3,14.5,-1.28,0.846,3.0,3.5,1.00,1.9,0.31,17.4,0.63,3.4,-0.55,4.3,0.69,0.5,-0.97,0.2,-0.95,-1.11
179,"167
                               
                                3",140.5,T.J. McConnell,PG,IND,70,18.6,0.550,4.1,7.4,1.22,0.816,0.7,0.9,0.08,0.3,-1.53,9.2,-0.59,2.8,-0.78,5.3,1.18,1.0,0.32,0.1,-1.02,-1.12
180,"168
                               
                                12",140.1,Mitchell Robinson,C,NY,48,26.0,0.640,2.9,4.5,1.61,0.459,1.0,2.1,-3.19,0.0,-1.85,6.8,-0.95,9.1,1.72,0.8,-1.11,1.0,0.38,1.6,2.26,-1.13
182,"169
                               
                                23",102.3,Russell Westbrook,PG,DEN,72,29.2,0.444,5.7,12.8,-0.78,0.668,2.5,3.7,-2.00,1.0,-0.71,14.8,0.25,5.9,0.45,5.4,1.27,1.2,0.70,0.4,-0.33,-1.15
183,"170
                               
                                4",139.4,Jaden McDaniels,SF,MIN,74,29.8,0.504,4.5,9.0,0.59,0.732,1.1,1.5,-0.40,1.3,-0.41,11.4,-0.26,3.5,-0.50,1.7,-0.66,0.9,0.03,0.8,0.47,-1.15
184,"171
                               
                                3",140.0,Karlo Matkovic,PF,NO,50,19.2,0.488,3.6,7.4,0.26,0.751,1.4,1.9,-0.31,1.1,-0.63,9.7,-0.51,4.6,-0.06,1.5,-0.73,0.7,-0.59,1.2,1.42,-1.16
185,"172
                               
                                11",115.0,Zach Edey,C,MEM,68,26.2,0.575,4.2,7.3,1.56,0.729,1.8,2.5,-0.66,0.0,-1.83,10.2,-0.44,7.2,0.96,1.3,-0.87,0.3,-1.53,1.3,1.64,-1.17
186,"173
                               
                                6",140.7,Patrick Williams,PF,CHI,68,28.3,0.457,3.9,8.5,-0.25,0.829,1.2,1.4,0.25,1.4,-0.27,10.3,-0.42,4.0,-0.30,1.4,-0.82,0.9,0.05,0.8,0.58,-1.18
187,"174
                               
                                17",135.8,Donovan Clingan,C,POR,67,22.8,0.639,4.1,6.4,2.21,0.608,1.8,2.9,-2.40,0.3,-1.48,10.2,-0.44,5.6,0.33,1.2,-0.92,0.4,-1.37,1.9,2.89,-1.18
