,R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FGM,FGA,FG%_z_score,FT%,FTM,FTA,FT%_z_score,3PM,3PM_z_score,PTS,PTS_z_score,TREB,TREB_z_score,AST,AST_z_score,STL,STL_z_score,BLK,BLK_z_score,TOTAL
19,19,19.6,Devin Booker,PG/SG,PHO,68,35.1,0.490,9.9,20.1,0.65,0.873,5.9,6.8,2.82,2.2,0.58,27.8,2.17,4.5,-0.10,5.5,1.31,1.0,0.38,0.4,-0.33,7.47
20,"20
                               
                                3",20.4,Scottie Barnes,SG/SF/PF,TOR,70,34.8,0.479,7.0,14.5,0.17,0.791,3.5,4.4,0.14,1.7,0.07,19.1,0.89,8.3,1.41,6.0,1.57,1.3,1.13,1.5,2.06,7.44
21,21,21.5,Karl-Anthony Towns,PF/C,NY,67,33.7,0.501,7.4,14.8,0.84,0.873,4.4,5.1,2.11,2.2,0.58,21.4,1.23,9.5,1.86,3.3,0.19,0.7,-0.54,1.0,0.95,7.22
22,22,8.6,Domantas Sabonis,PF/C,SAC,77,35.6,0.600,7.2,12.1,3.14,0.725,3.9,5.4,-1.48,0.4,-1.40,18.8,0.84,13.2,3.36,7.9,2.54,0.9,0.05,0.6,0.13,7.19
23,23,40.2,Lauri Markkanen,SF/PF,UTA,64,33.5,0.483,8.3,17.1,0.30,0.884,4.9,5.6,2.61,3.1,1.61,24.5,1.69,8.4,1.45,1.9,-0.52,0.8,-0.38,0.5,-0.11,6.64
24,24,29.1,Chet Holmgren,C,OKC,75,30.6,0.530,6.5,12.2,1.42,0.793,2.8,3.5,0.13,1.7,-0.01,17.4,0.63,8.1,1.31,2.6,-0.20,0.7,-0.59,2.3,3.84,6.52
26,"25
                               
                                1",8.7,Anthony Edwards,SG/SF,MIN,79,35.4,0.460,9.3,20.3,-0.60,0.823,5.0,6.1,1.12,2.5,0.95,26.2,1.93,5.5,0.29,5.2,1.17,1.4,1.45,0.7,0.16,6.46
27,"26
                               
                                1",14.0,Jalen Brunson,PG,NY,74,34.9,0.484,9.8,20.3,0.41,0.839,5.3,6.4,1.66,2.7,1.16,27.7,2.16,3.7,-0.43,7.0,2.10,0.9,0.08,0.2,-0.84,6.29
28,27,47.3,Paul George,SF/PF,PHI,60,33.0,0.465,7.7,16.5,-0.32,0.889,3.8,4.3,2.10,3.0,1.45,22.1,1.33,5.0,0.10,3.4,0.21,1.4,1.45,0.4,-0.36,5.95
29,28,45.9,Jalen Williams,PF,OKC,73,32.2,0.536,7.8,14.5,1.86,0.822,2.8,3.4,0.58,1.7,0.03,20.0,1.02,4.6,-0.08,4.9,0.99,1.2,0.86,0.6,0.04,5.30
30,29,51.6,Jimmy Butler,SG/SF/PF,MIA,60,33.1,0.492,6.5,13.2,0.52,0.855,6.9,8.1,2.71,0.8,-0.99,20.7,1.12,5.4,0.24,5.1,1.10,1.3,1.15,0.3,-0.62,5.23
31,30,68.2,Jaren Jackson Jr.,PF/C,MEM,68,31.2,0.470,7.5,15.9,-0.12,0.800,4.6,5.8,0.44,1.7,0.08,21.3,1.20,6.3,0.61,1.7,-0.64,1.2,0.70,1.9,2.89,5.17
32,31,25.1,Tyrese Maxey,PG/SG,PHI,70,36.2,0.462,8.7,18.8,-0.49,0.859,4.1,4.8,1.67,3.0,1.48,24.4,1.67,3.5,-0.52,5.9,1.54,1.0,0.13,0.3,-0.55,4.93
33,"32
                               
                                4",16.6,Ja Morant,PG,MEM,63,33.6,0.470,9.2,19.6,-0.17,0.788,5.8,7.4,0.18,1.5,-0.13,25.8,1.88,5.9,0.45,8.2,2.71,0.9,0.00,0.5,-0.09,4.82
34,"33
                               
                                1",70.6,Fred VanVleet,PG,HOU,70,36.0,0.406,5.7,14.1,-1.95,0.874,3.0,3.4,1.40,2.9,1.33,17.3,0.61,3.7,-0.45,7.6,2.39,1.4,1.26,0.7,0.20,4.81
35,34,21.0,De'Aaron Fox,PG,SAC,72,34.5,0.472,9.2,19.4,-0.08,0.759,4.3,5.6,-0.64,2.5,0.96,25.1,1.78,4.2,-0.22,5.5,1.32,1.7,2.17,0.4,-0.51,4.77
36,"35
                               
                                2",60.7,Jalen Johnson,PF,ATL,68,34.2,0.503,7.3,14.5,0.88,0.747,2.1,2.9,-0.51,1.4,-0.26,18.2,0.75,9.2,1.77,3.5,0.26,1.3,0.99,1.0,0.87,4.74
37,"36
                               
                                9",31.2,Cade Cunningham,PG/SG,DET,64,33.7,0.450,8.8,19.5,-0.99,0.865,3.8,4.4,1.64,1.9,0.23,23.2,1.48,4.7,-0.03,7.8,2.51,0.9,0.03,0.4,-0.40,4.47
39,"37
                               
                                3",44.1,Desmond Bane,SG/SF,MEM,68,32.8,0.472,7.7,16.4,-0.07,0.877,3.1,3.5,1.50,2.9,1.37,21.4,1.22,4.5,-0.10,4.4,0.76,1.0,0.13,0.4,-0.36,4.46
40,"38
                               
                                4",29.4,Alperen Sengün,C,HOU,72,32.6,0.544,7.6,13.9,2.02,0.713,3.9,5.4,-1.77,0.4,-1.40,19.4,0.93,9.9,2.03,5.4,1.24,1.2,0.83,0.8,0.55,4.44
41,"39
                               
                                4",71.7,Derrick White,PG/SG,BOS,75,32.8,0.461,5.2,11.3,-0.27,0.888,2.2,2.4,1.15,2.7,1.17,15.2,0.31,4.3,-0.22,4.9,1.01,0.9,0.00,1.2,1.27,4.42
42,"40
                               
                                2",67.5,Evan Mobley,PF/C,CLE,68,32.0,0.573,6.5,11.4,2.35,0.726,2.6,3.6,-0.99,0.4,-1.37,16.1,0.43,9.2,1.77,3.4,0.23,0.9,0.05,1.5,1.93,4.40
43,"41
                               
                                4",36.3,DeMar DeRozan,SF/PF,SAC,76,34.9,0.486,7.5,15.4,0.37,0.863,6.0,7.0,2.60,1.1,-0.63,22.1,1.33,3.8,-0.40,3.9,0.49,1.1,0.64,0.6,-0.02,4.38
44,"42
                               
                                1",33.9,Bam Adebayo,C,MIA,73,34.4,0.531,7.8,14.8,1.73,0.743,4.1,5.5,-1.04,0.2,-1.62,20.0,1.01,10.4,2.22,3.9,0.50,1.2,0.86,0.9,0.67,4.33
45,"43
                               
                                2",38.3,Dejounte Murray,PG/SG,NO,74,32.0,0.462,7.6,16.4,-0.42,0.809,2.2,2.7,0.29,2.2,0.61,19.5,0.95,5.2,0.17,6.5,1.83,1.4,1.42,0.3,-0.55,4.30
46,"44
                               
                                5",45.0,Kawhi Leonard,SF/PF,LAC,48,30.0,0.507,7.5,14.7,1.02,0.859,3.5,4.1,1.42,1.7,0.07,20.2,1.04,5.4,0.22,3.2,0.11,1.1,0.51,0.5,-0.11,4.28
47,"45
                               
                                1",85.7,Kristaps Porzingis,PF/C,BOS,40,27.1,0.484,6.1,12.6,0.28,0.848,3.8,4.5,1.33,1.8,0.12,17.8,0.69,6.7,0.77,2.0,-0.48,0.7,-0.62,1.5,1.95,4.04
48,"46
                               
                                2",48.1,Jamal Murray,PG,DEN,60,31.1,0.471,7.4,15.8,-0.11,0.841,2.6,3.1,0.81,2.5,0.92,20.0,1.01,3.9,-0.35,6.1,1.64,1.0,0.19,0.5,-0.16,3.95
49,"47
                               
                                1",63.3,Myles Turner,C,IND,72,28.8,0.535,6.1,11.5,1.46,0.778,3.2,4.1,-0.12,1.5,-0.22,17.0,0.57,7.0,0.87,1.3,-0.84,0.5,-1.02,2.0,3.13,3.83
50,"48
                               
                                1",69.5,Immanuel Quickley,PG/SG,TOR,72,33.3,0.440,6.4,14.7,-1.03,0.849,3.2,3.8,1.14,2.6,1.09,18.7,0.83,4.6,-0.06,6.8,1.98,1.1,0.62,0.2,-0.78,3.80
52,49,62.7,Franz Wagner,SF/PF,ORL,76,33.1,0.483,7.2,15.0,0.28,0.845,3.7,4.3,1.23,1.4,-0.25,19.6,0.95,5.4,0.23,3.9,0.49,1.2,0.72,0.4,-0.33,3.34
53,"50
                               
                                4",77.2,Darius Garland,PG,CLE,68,33.0,0.455,6.9,15.1,-0.59,0.850,3.2,3.8,1.17,2.3,0.73,19.3,0.91,2.6,-0.88,7.0,2.07,1.2,0.86,0.1,-1.00,3.27
54,"51
                               
                                4",34.0,Jaylen Brown,SG/SF,BOS,70,33.8,0.495,9.4,19.0,0.79,0.737,3.4,4.6,-1.02,2.2,0.61,24.4,1.67,6.1,0.51,3.5,0.26,1.1,0.64,0.5,-0.29,3.19
55,"52
                               
                                5",90.0,Bradley Beal,SG/SF,PHO,50,32.0,0.509,7.2,14.2,1.02,0.821,2.6,3.1,0.52,1.9,0.28,18.9,0.86,3.8,-0.41,4.2,0.64,1.0,0.27,0.5,-0.11,3.07
56,53,49.1,Rudy Gobert,C,MIN,73,33.6,0.660,5.5,8.3,3.22,0.642,3.4,5.2,-3.39,0.0,-1.85,14.3,0.17,12.9,3.21,1.4,-0.82,0.8,-0.32,1.8,2.80,3.01
57,"54
                               
                                3",42.8,Nikola Vucevic,C,CHI,75,33.2,0.482,7.1,14.8,0.25,0.817,1.5,1.8,0.24,1.4,-0.26,17.1,0.59,10.4,2.25,3.3,0.15,0.7,-0.56,0.7,0.33,2.99
58,"55
                               
                                6",38.3,Zion Williamson,PF,NO,67,32.1,0.573,8.8,15.4,3.13,0.714,5.0,7.1,-2.26,0.1,-1.71,22.8,1.43,6.2,0.57,5.0,1.04,1.1,0.59,0.7,0.16,2.94
59,"56
                               
                                6",96.9,Tobias Harris,SF/PF,DET,69,31.9,0.482,6.8,14.1,0.24,0.878,2.5,2.9,1.23,1.6,-0.12,17.6,0.66,6.3,0.59,3.0,0.00,1.0,0.24,0.6,0.09,2.93
60,"57
                               
                                5",71.3,Jarrett Allen,C,CLE,70,30.8,0.637,6.2,9.7,3.27,0.735,2.6,3.6,-0.83,0.0,-1.84,14.9,0.26,9.9,2.02,2.2,-0.41,0.7,-0.62,1.1,1.07,2.93
61,"58
                               
                                2",121.6,Deandre Ayton,C,POR,65,31.0,0.571,7.6,13.3,2.68,0.778,1.8,2.3,-0.09,0.1,-1.79,17.0,0.57,10.3,2.19,1.7,-0.67,0.8,-0.40,0.8,0.42,2.91
62,"59
                               
                                1",61.3,D'Angelo Russell,PG/SG,LAL,72,32.6,0.457,6.2,13.5,-0.47,0.829,2.3,2.8,0.57,2.9,1.37,17.5,0.65,3.1,-0.67,6.0,1.58,1.0,0.13,0.5,-0.29,2.87
63,60,70.5,Jrue Holiday,PG/SG,BOS,68,32.5,0.477,5.1,10.6,0.09,0.847,1.2,1.4,0.38,2.2,0.59,13.5,0.05,5.3,0.19,5.1,1.11,1.0,0.35,0.6,0.00,2.78
65,"61
                               
                                3",113.2,Jordan Poole,PG/SG,WAS,77,31.5,0.422,6.9,16.3,-1.74,0.871,3.7,4.2,1.71,2.6,1.09,20.1,1.03,2.9,-0.76,5.7,1.42,1.1,0.62,0.3,-0.62,2.75
